device_id,fold
-8076087639492063270,1
-2897161552818060146,2
-8260683887967679142,3
-4938849341048082022,4
245133531816851882,5
-1297074871525174196,6
236877999787307864,7
-8098239495777311881,8
176515041953473526,9
1596610250680140042,10
9032155484127182494,1
7477216237379271436,2
2478205222798310601,3
6352067998666467520,4
-7605360767281960867,5
1508636020748379883,6
4380872794486415327,7
-1039701474753771322,8
-6876541075223249434,9
6287938418661076759,10
-6029676723224952628,1
8026504930081700361,2
1118970699362079126,3
-7271319853104672050,4
-9216966316587614491,5
-4913644674161904021,6
2313145512701915151,7
4309468945717577632,8
-4547337748907986143,9
-7216269352973401877,10
-7303294878482532208,1
7630241409816671260,2
7106922851105968241,3
-5825546292084395293,4
5886404762741543631,5
3444770318780911055,6
3549658489155683094,7
-7360652256644378412,8
-3207654344601946580,9
-1279883160764317574,10
3014072209520807550,1
-2871140782885206484,2
-5070177130701218827,3
-1539979963116391306,4
-5349338524207284103,5
-147287084274333707,6
-5712152567169524766,7
-3305321723886863103,8
-800851341622326751,9
6870382681059864892,10
-1173303210238773591,1
6677393742805480020,2
1865480732945072123,3
336916678843446187,4
670584488453511085,5
5874501925603975585,6
-7058264257379185672,7
-7731743086143077949,8
-1457089681368225820,9
3098621662950438701,10
-3563791052716940236,1
-5348866880284858420,2
-4180524547237520433,3
-8428853393823283356,4
-6290480893520011063,5
6223951438363242934,6
-4370696809239943432,7
-6083834394280548453,8
-1246353335731124816,9
-6552729385743211,10
5938577683122528158,1
-3235628390898753137,2
-4144208717804687615,3
8844957623159520450,4
4156261305872406545,5
-6785797459639810711,6
-8080952034040064218,7
6354951364862886829,8
-7789505157081731608,9
8240579676061663826,10
5439866249778803748,1
-8140024683963050427,2
-360168846769617446,3
4049342567374065020,4
5660846220747791709,5
2346793034696706898,6
-4924030293291439654,7
1676196645503737870,8
4922799967163614958,9
-6571452454273901516,10
-2056729718209154009,1
404958689637790744,2
6895504244645409122,3
-7882183570062087941,4
5446913796434345063,5
-3859751359584472885,6
5662094349477792975,7
-4650666927489443566,8
3804056002627416258,9
-8266281880829904174,10
5973319239886062800,1
202462323314332621,2
7326636766251173655,3
-4144445179725470192,4
8907764229603533579,5
-5261054643656080753,6
3819716873588642183,7
4650021665055865662,8
-5441393164079058849,9
-8582139297114165642,10
7761134629352961054,1
6927671656924395665,2
5984369821078450685,3
2959524852145775517,4
-2114716321141097556,5
699478504411407472,6
-1872001393673636989,7
-4872982505937593114,8
-4430857349056469253,9
-5340398384027830118,10
1704840088089510706,1
-4246359349357769983,2
-8165550889984892199,3
4297455138616652485,4
-1747655920783302206,5
2275434704754261644,6
3752341244715056358,7
-754365920636902161,8
-5638884600299366389,9
4816687632811889210,10
593669313143296408,1
248228453883119456,2
8561987004157629214,3
-448645680703615976,4
-8887145707214349266,5
-7154614355022595143,6
-5352494765561872354,7
6203757811505041868,8
8213642428559590445,9
-8018890275127066945,10
7222366654900852519,1
6123790560434642813,2
8369299031756452885,3
-7861418408615064463,4
9146497636646056842,5
-2489556190686427591,6
-3274254800053988869,7
-8344622686419295900,8
-7464543035045993775,9
-2999736920417270580,10
3190702475320666496,1
6709821453224441026,2
6021983857045701513,3
-6494821234293367565,4
8749724299667578438,5
-3113143023563671753,6
-5028220390242257416,7
-3794473641159391327,8
3141753394038535319,9
-4917609465027922615,10
-1516688507910543815,1
4142956234059879708,2
-4917418725007279484,3
-7516440352534368031,4
6439649945388461116,5
-7348867500610951647,6
-8163914028422841035,7
1603640831768213530,8
-8003284722005509153,9
-5203038592600087183,10
-4810626615146220634,1
8862410784192965428,2
2939637043564785302,3
8753601250612921480,4
-5116656739499156887,5
-7646353414568593628,6
-5189881483734033534,7
-4996365611575224625,8
-6711641544479668924,9
6206722327442379463,10
3493988831547441804,1
4366005122372201003,2
1386963267590573431,3
-6330378243113796645,4
-7865367115690889902,5
-1858006844990046411,6
-3228486232941564156,7
-5602557068543221619,8
-1451022929123789871,9
7790659424525077194,10
8920285886738674998,1
-4852607865204248032,2
-2426517319208539667,3
-8249736197215467956,4
2270921318416256658,5
-1319995297521489561,6
9138019064415706007,7
-7319671561866655769,8
2978253634008558593,9
8061585136093547923,10
-8545729738118500183,1
1474139374992166898,2
1601488851299080757,3
8655869457573847114,4
3611992091268251668,5
4192900550916502009,6
7085696727020395428,7
-7040791784866622265,8
4329078646062358068,9
3456872842738035793,10
-2966512100134318742,1
2040535522516268215,2
-3310045835362138089,3
-4699662670867136082,4
-7548291590301750136,5
-7963397998932390299,6
-7082232536999173876,7
-6242893361006209354,8
-2415127400609093036,9
2894174233476843291,10
2977628559549884847,1
-2657430017797696536,2
4497817510933031170,3
2460194575250181595,4
-5872355609156227199,5
8069018087348622619,6
4948898765850983971,7
3147394884766951836,8
80935662153622052,9
-7945392883263043020,10
7021855019699124523,1
-766118996225706089,2
-900650310696232044,3
-8762995520315894664,4
5421267314514963969,5
-529046212852150867,6
-1895509578144570493,7
-2478156885124026620,8
-7279624854596091363,9
5692610091528369777,10
6562806239947577010,1
-7306135389406963510,2
5702872234734716353,3
6488610263167172153,4
-3529774277648147974,5
-6000733973296812644,6
2350979402202438478,7
-621174912844602038,8
-4153865198013987891,9
9219479903879163716,10
-2389013266016611875,1
6565337312089151336,2
6281195034868006293,3
-6065952695936634687,4
6391503609295653806,5
-3227288379325915241,6
9123392963738377798,7
-1938435110960608198,8
5636743222462110847,9
1540134249071138179,10
2844534599979001280,1
6327103640181623607,2
7507270603885968883,3
-565124306076115432,4
4419526128131778535,5
-5284404864046190914,6
2060749851566670252,7
-8593265039555205241,8
-6141801790803850097,9
-6492462980844783230,10
6775652294837141141,1
4258636597181710806,2
3235635318498361849,3
3163787231116816284,4
2824416853940964538,5
-4249929128118593776,6
6783516722606734308,7
-2777441777805531461,8
-5693154089237308179,9
-225262823313738339,10
2724015352885630840,1
-8448590394900141907,2
338283462287728873,3
4704542779027368284,4
1975516998960925196,5
7116779436642135828,6
8543316339499766821,7
6823319585575058469,8
583157140721431142,9
72999436528877253,10
7244527048146468873,1
-7799207332505443834,2
-4555256352171659738,3
9022373770725490123,4
1714287570154592293,5
-2141028849447517652,6
-3007290059075922008,7
6677898008001741134,8
2130490974990662039,9
-1791818818985507554,10
8724849398259744677,1
-2135911353025150071,2
-5977779196775749873,3
-9134556132023507861,4
-49730763913378432,5
1459080085082043728,6
7050857104490950917,7
-5401753062424811373,8
3604511296492842086,9
-3226520822719883647,10
-2094691511186450567,1
-4466935442609903897,2
-6785716032312317966,3
3500307892205027190,4
-1117454837751951991,5
8118936935913363277,6
-1357401245479679056,7
-318708851494203604,8
7610335843466648867,9
2320542621284956663,10
6348079742918185023,1
1444928900010815808,2
3744909594455282523,3
5255430446391714185,4
-7650841846815498584,5
-6797960682712450133,6
-8146966056838942606,7
-9153245537488288364,8
-360233945138979577,9
1663389245555042663,10
5805575799056444427,1
6448757979883417999,2
-954680535608637556,3
3654345234677910057,4
7562411939803512882,5
-2874573589030714776,6
-6652140857336427673,7
-3174514444476368200,8
8972321560616453482,9
-4935335315811963318,10
8276999935602524746,1
3402994260166624775,2
5108142823291112751,3
3471451329225031495,4
-6791581020624214971,5
-2094586929577583000,6
-2683545177557247024,7
-4214293157750794619,8
1459738584733677563,9
1469006017306955518,10
5297854804165140682,1
7231270196225939131,2
700830215931679317,3
-637891494492896017,4
8668918402869143275,5
1888521065893978058,6
2825141601023672167,7
4449470138586525722,8
-8366131750644256209,9
-3534551426935880265,10
1502461605760473195,1
-4771881468336909132,2
-5685117998885564353,3
8161044391542216225,4
-4198791070540130017,5
-8475312114246077271,6
1319324274909532362,7
-1177635519148501584,8
4189762977638537239,9
-3077937920672001811,10
-3244096424715237105,1
-4671788193261470496,2
113979950782839877,3
503143391156241086,4
-6042908553950254235,5
-345871495580169903,6
9106723912388896801,7
7284031010300954848,8
4032612108650097762,9
8352592309255706786,10
7705384213380232481,1
1123870157669170491,2
7921733448240571356,3
2399914927947537397,4
6277401130315436930,5
5441095450799834215,6
-4005849076109412284,7
-179790220800402751,8
7866598770427892860,9
-5493563917628184466,10
9203006693435653275,1
2355041056604318522,2
1411171847723420780,3
-6985934243613826863,4
7352701797930096128,5
8848742706511928763,6
-6583823906225667083,7
-7771398025617818409,8
-7691879765552453435,9
2464684863257435773,10
6604280119591140661,1
-20667435396379759,2
5581064628061795937,3
-8587610512543135636,4
5413704986152654312,5
3504563730603386282,6
6863112459383289362,7
3675909796369127445,8
-5317745724179407738,9
6423288831466633660,10
8312667491634467650,1
-8164663270002147627,2
-1759997501338681850,3
3036600127070433664,4
3603255247253715956,5
-6294981216321531814,6
-167571000635525578,7
-1045655858343636006,8
1255915588387999803,9
-9211636527106625314,10
6140506024248427109,1
3679272092861009086,2
1187259603731284031,3
-655444116637802254,4
2510851418746740937,5
-7702849433553367406,6
-7344170352548055641,7
-1176968711259010606,8
6427638870670310680,9
-4277494943660351916,10
-2213794781340645248,1
5112375494822102110,2
-4597930075539490849,3
-2176202895717029268,4
-4837437557348002889,5
678054189899995599,6
3634584596342582895,7
6242045993734232436,8
7497850677598683461,9
-3641970131210381534,10
8522618421597953014,1
-6018160454764528851,2
6788691223026392889,3
5785252018416191581,4
-6739684703749059557,5
-5066301088967309406,6
-3352337094847398864,7
3050020885746905033,8
7464518683724727658,9
4977791024608210667,10
6824596868855223630,1
-7044168722752090349,2
3344241795823208895,3
6703232543519770914,4
589557985088430288,5
8946598892027654292,6
-7083853366829402397,7
-2001567280649176448,8
646307682968211609,9
-4986392845443402625,10
-5487152191347785398,1
2662126988550136306,2
-6630551694025657184,3
7958696823479453960,4
9047713447193243097,5
-4307993308323975261,6
5861119094982137442,7
-4377371438971174786,8
-4374356101743562672,9
1442070159850622197,10
1352886169581418887,1
-1940964897031620305,2
6019832031671410230,3
2048082274046894024,4
-6032484110824395920,5
-1582252749329288852,6
6655529407431740036,7
-1474792823754483907,8
1029904277495989007,9
720756603628213494,10
6310961650826747907,1
2407358055337822629,2
-4217973406658219504,3
-5179541163565136976,4
-4551768034596689389,5
6356675767217309603,6
6008495818349839326,7
-2790183384476760306,8
9149103074456470249,9
1695761527019641539,10
-5383319989100702684,1
-8386606593312868092,2
4889327164992412585,3
-6153673241974140087,4
-2037634822852281255,5
-7096688265900000579,6
-8679605999382303581,7
-1983931105460838223,8
-3846422794537928556,9
-7120133646302952092,10
4573555264680860597,1
-9080632005894836087,2
5239934703976628317,3
-4093873478471274301,4
-3808211154648602735,5
-3528523897959651909,6
-5920211050759233549,7
-5177331251703379618,8
291962812379126626,9
-3861862675756404953,10
8353740206445735179,1
1163952773185536842,2
-873214840155221503,3
-6058512568653763470,4
-6868379650375898437,5
-2330036225904384801,6
1822607312031879171,7
3288693535742394934,8
3439985609749922150,9
-1688527666462535726,10
-2828331636363738843,1
-602351730740783793,2
1325987205615111172,3
-2802543599440680842,4
6090310796599938899,5
-5514406392341151487,6
3796280135236396817,7
332380340265563941,8
7123479605708697395,9
6026687977234910115,10
4505562063265677513,1
4981382137382970454,2
-236963596009956963,3
-229180280378644612,4
812521723479166670,5
4530013951351880954,6
1318303222997853851,7
5031308204970224592,8
7576677397230418334,9
7552099237693808316,10
1119943039459733860,1
8780875081637886518,2
1043546028888154415,3
-8295193153214873881,4
1874308258075089641,5
-184400817050772603,6
-7603777855807306454,7
-5181402337880396912,8
8134709830571845726,9
-7065078100475716045,10
552498749193063741,1
8761770737926125955,2
-4844946365893487136,3
-5000507903395027839,4
-244415756622179948,5
-3086495925588504008,6
4690577651905751454,7
1895275241111410061,8
4978373534460377887,9
2973015864073168250,10
2080579331913165589,1
8720083342483823841,2
2389384819016317481,3
-5611722417377626845,4
-557453964647696216,5
5980555560479015572,6
2772316738047304946,7
-6233661495000219593,8
8336875548926735477,9
-280792878984386324,10
-8665947049306807542,1
-4545977437136433255,2
-8382006046590136079,3
-5693598844768112670,4
1294088097492388254,5
